Column1;Column2;Column3
Hans Suryo Hariwibowo;9 months ago;"The place is cool, clean, apart from seeing the animals up close there is also a play area for children... The arrangement is good...
I'm really satisfied even though it's a long way from Jakarta...
Cool.."
Nefi Yulianti;8 months ago;Nice place, also suitable for children as a place of education... however, the directions should be more accurate, especially looking for places of worship.
Rian Icha;4 months ago;It's all expensive... but it's okay... it's spacious enough & suitable for children
DOUBLE C;a year ago;Jatim Park 2 is almost completely filled with animals from nature, reptiles, aquariums etc... …
Ayu;4 months ago;The most exciting and the animals are beautiful... Hopefully the animals will be more sustainable.. Healthy.. Add variations
Wisnu Purnomo;4 months ago;Complete, spacious parking, just pay once, rides are free
Rifa Diandra;6 months ago;It's so exciting to holiday here, it looks like you have to rent an e-bike so you don't get tired of walking around😆 …
Umma Sachi;a year ago;The best place to spend a holiday with the kids is Batu Secret Zoo, the place is very spacious but unfortunately you can't rent an e-bike, waiting in a queue of 45 people hahaha..came here during the holiday season and on weekends so it was …
Laila Rofida;10 months ago;"Entrance ticket as of June 2023 is 115 weekdays and 140 weekends
Overall it's really good... start at 9.30 and leave at 16.00... there are still a few rides that haven't been tried yet...
next time go there again"
efi ruslan;4 months ago;The place is spacious, lots of rare animals, quite a lot of rides
Nurul Hidayati;a year ago;"Satisfied playing here... And almost one day isn't enough to go around all the rides and areas from ECO green, the animal museum to basically anywhere. Ha ha.
And prepare yourself in good physical condition so you don't get sick at the …"
Nisa RD;a year ago;It's really fun and you never get bored if you come here, travel and educate yourself with your family, allocate time all day for the secret zoo and animal museum, because the place is very large, there are lots of different animal …
Wayan Sutejo;8 months ago;a place for children to learn about various kinds of animals, there is a food court, hotel, hall, also for parents to exercise physically because the walk is quite long.
Etnik Indonesia;11 months ago;Been here many times and never bored!! When I was in middle school, high school, college, after getting married and now I have a baby, the healing still comes here hahaha …
Immash Pratiwi;2 years ago;1. We bought tickets via Traveloka (secret zoo stone package, animal museum and sweet memories). Ticket prices are slightly cheaper than via on the spot. As for on the spot tickets, yesterday tickets were available for 4 tourist attractions …
Metta Ayu;9 months ago;"I personally really like this place.
I've been here twice 👍
The place is amazing, there are many kinds of animals that I have never seen …"
fitria jala;2 weeks ago;I went there on a Sunday and the weather happened to be raining when I entered, so a lot of the rides were not operating. At the beginning of the time we were wearing our bracelets, all the items we brought were checked, at that time my …
Betty Megawati;a year ago;The place is really big, from 10 am to 4 pm the rides are endless. Just maybe you shouldn't come in high season because the queues are a bit inhumane …
Adi Abas;2 months ago;What a great place, you must come here.
Arseindy;9 months ago;Ok, so when I arrived, I looked around: where is it written Jatim Park 2? And I can't find it!!! Ha ha ha …
Rendra Rezkia;11 months ago;A tourist spot that is suitable for children, very educational, the place is very spacious and is also suitable for long distance walking... For those who don't have the strength to walk, it is highly recommended to rent an e-bike, 150 …
Tri Nurcahya;a year ago;The location is in the city of Batu, along with various other tourist locations around it, quite easily accessible by private vehicle from the city of Malang, approximately 45 minutes, with a fairly complete collection of animals and …
Enny Vesakha;a year ago;There are lots of good photo spots in Jatimpark... lots of unique animals... entering the secret zoo door you are greeted by giant rats. Parents are advised to rent an E-bike so they don't get tired...enjoy the children playing because there are lots of rides for children inside.
ari Tejo;9 months ago;"Tourist attractions that must be visited, there are lots of spots for knowledge about animals, both Indonesian fauna and Megara animals, there are also many rides that must be enjoyed, with ride package tickets being free without paying.
The various attractions and fauna that exist add to the fun of tourism"
Siswo Saputro;11 months ago;One of the favorite tourist locations in the city of Batu Malang, very suitable for children, there is a zoo, there are rides, there are water rides, cool photo spots, and a preserved animal museum... …
Kang Yoolie (Kang Yoolie);4 weeks ago;One day I want to come again...earlier...so I can try all the rides
Ciputra;a year ago;The best family vacation spot. If you bring your parents, it is recommended to use an e-bike. Can rent for 150 thousand per 3 hours. The place is very spacious and pleasant.
Edo Emawan;4 months ago;Jatim Park 2 the Best... Not disappointed all the way coming from East Kalimantan...
alrashya widiano;7 months ago;Wort it at this price the animals are well looked after and fat, I really like it, suitable for children, the downside in my opinion is that some of the places are not shady.
Sasegu Gunawan;2 months ago;Suitable for family recreation. Coincidentally, I went there with a group of school children. Learn and play about many animals.
Hermin Cahyani;a year ago;very interesting place, lots of knowledge to be gained... also fun entertainment, everything is quite affordable in my opinion, that's just how it goes cafekkk 😌 …
